Initial Velocity (m/s),Launch Angle (degrees),Gravity (m/s²),Time of Flight (s),Maximum Height (m),Range (m),Final Velocity (m/s)
35.70469605781515,29.621646453539437,9.81,3.597914747596557,15.873794638605391,111.67347045698462,35.70469605781515
41.256605211740485,16.854315915351904,9.81,2.438717026797099,7.292926578488837,96.29135302223702,41.256605211740485
35.21423957565291,45.086541825020944,9.81,5.084160952989005,31.696959295720003,126.40540374707237,35.21423957565291
24.008337264589905,74.62622859827174,9.81,4.719519626837151,27.313327579308954,30.039574147058854,24.008337264589905
10.61584015524353,53.30485277491135,9.81,1.7353841775907144,3.6929232964992345,11.00853467041233,10.61584015524353
31.111167495708525,24.617863734861405,9.81,2.642161120541583,8.56047011818803,74.72918790707544,31.111167495708525
45.38449970281668,57.77007013573291,9.81,7.8269959183409314,75.12236208589601,189.4475928381208,45.38449970281668
23.850159193328672,63.78528008683428,9.81,4.362293369961546,23.335051225179836,45.95886483827609,23.850159193328672
45.98263556792782,32.45323933404712,9.81,5.030538902776494,31.03187692619141,195.19251657457465,45.98263556792782
27.65875189020809,49.1446581001727,9.81,4.265050392608806,22.306290511642718,77.16761418720573,27.65875189020809
32.937870309911446,57.73671920271258,9.81,5.678368710766235,39.53904707789528,99.84038462936797,32.937870309911446
42.484481422503926,21.22472017663417,9.81,3.1356820118693993,12.057105184562076,124.18135170945189,42.484481422503926
30.406869933832468,77.48706578407237,9.81,6.051910146125071,44.91216213106615,39.869696585773085,30.406869933832468
9.093620268300358,41.58763730148894,9.81,1.2305862278294408,1.8569624466314325,8.369825365153325,9.093620268300358
49.14407303601778,78.57650733304465,9.81,9.820699552048195,118.26707879682407,95.58917690395786,49.14407303601778
16.063218586077518,23.270170609114658,9.81,1.2937924929857152,2.052618667028717,19.09186298804681,16.063218586077518
36.972739788358936,43.86414824167511,9.81,5.223300794983477,33.4556208027155,139.2364083173221,36.972739788358936
27.730104737798243,21.60975575730864,9.81,2.0820636684944667,5.315780407988761,53.67781007502819,27.730104737798243
26.544768656796865,10.71265756687571,9.81,1.0059611500008854,1.2409132955502409,26.237619494975657,26.544768656796865
15.977336849010115,26.651262080264193,9.81,1.46111654672854,2.6178739917807246,20.864447819104655,15.977336849010115
37.496784456504685,38.223113594765834,9.81,4.729910641373157,27.433732045678628,139.3325241344776,37.496784456504685
10.075471917394427,40.1791516406965,9.81,1.3252783194229016,2.1537396675970935,10.201954462637246,10.075471917394427
49.570398921266836,72.05536085729432,9.81,9.614481078920832,113.35239966875635,146.83751212632907,49.570398921266836
43.04180916982418,54.49740847165893,9.81,7.143705245340044,62.578633330356475,178.564704301935,43.04180916982418
29.052902300260644,40.41091586529711,9.81,3.839751072246057,18.07944777396908,84.94032471429907,29.052902300260644
24.104883022610426,79.1598389726869,9.81,4.826655950693096,28.567465150875265,21.881164063762878,24.104883022610426
17.890908460694043,52.995703213868,9.81,2.912845527399164,10.40432544278252,31.36577983489593,17.890908460694043
27.571616192334538,32.58640754894802,9.81,3.027374207295603,11.238574617212132,70.32983097953768,27.571616192334538
44.57378579108756,58.39176168475562,9.81,7.739314017947981,73.44867352563301,180.80193853519796,44.57378579108756
17.37528803153076,44.69899458781036,9.81,2.4916348294575577,7.612859356277547,30.773085589922665,17.37528803153076
27.524185646141117,71.68173858477206,9.81,5.327096281207209,34.798467060319865,46.083192244657425,27.524185646141117
15.554745593016388,72.75578834443249,9.81,3.028656104053932,11.248094248109126,13.965520925408686,15.554745593016388
20.171710114922817,35.71452800848187,9.81,2.400647787602548,7.067013392398384,39.318117438444055,20.171710114922817
13.561722901549961,49.363733560210086,9.81,2.098152634679286,5.398252291652259,18.531168441131648,13.561722901549961
49.57426372645345,28.60414108324138,9.81,4.838724192866897,28.710500037696654,210.59891064322676,49.57426372645345
30.717385090810502,53.864572621978496,9.81,5.057724950296769,31.368188276337765,91.61519652150601,30.717385090810502
37.976680581651294,79.46428736237723,9.81,7.611913681458544,71.0504331574878,52.85692770069853,37.976680581651294
9.421246105341652,68.28119624755287,9.81,1.784392031983887,3.9044473503190504,6.221011281515658,9.421246105341652
21.47528975334421,35.64869302119777,9.81,2.5517012682558677,7.984333693165812,44.529595676717975,21.47528975334421
45.16879113712947,16.676624639544475,9.81,2.642625001869925,8.563476286747958,114.34367790368594,45.16879113712947
8.799724689077655,77.667739116146,9.81,1.7526351042239063,3.7667086777441785,3.2939891344939234,8.799724689077655
12.446745275282591,37.270934507440415,9.81,1.536709397637916,2.8957596663821272,15.22092337922993,12.446745275282591
33.14379246580259,30.536662528677063,9.81,3.433234709899969,14.453932077962438,98.00816777323541,33.14379246580259
33.02550473469013,32.14347750338973,9.81,3.5822488544382987,15.735861531096422,100.17151302498688,33.02550473469013
42.72021700042683,44.29463566471927,9.81,6.082281318564466,45.36407157929163,185.9799972505205,42.72021700042683
47.097174374213964,76.97259791243005,9.81,9.354741015266288,107.31058381614244,99.3146552677854,47.097174374213964
11.389391394136869,79.06356249334439,9.81,2.279824710823567,6.373557873190262,4.926231633436922,11.389391394136869
16.671821833714976,30.728870914667688,9.81,1.7367793959983073,3.6988637745341553,24.88980824716419,16.671821833714976
24.235763256196513,34.60280954232395,9.81,2.8059336974742717,9.654589875304785,55.974626558983665,24.235763256196513
5.040647848456233,45.82645920462259,9.81,0.7370675572420812,0.6661831010549643,2.588945811964011,5.040647848456233
8.141643633186272,10.573110204081516,9.81,0.3045688853034159,0.11374965497870124,2.437590065537152,8.141643633186272
15.192107507345973,22.238559427087637,9.81,1.1722044374998688,1.684945052089738,16.48360817997347,15.192107507345973
26.649588380711528,75.52413143533644,9.81,5.260661387638405,33.93592703614653,35.04472113630472,26.649588380711528
16.318523217587575,12.060466594295285,9.81,0.695138661984771,0.5925457774470554,11.09325554961117,16.318523217587575
44.45068515003716,17.068339580438064,9.81,2.6599011747543404,8.675809810662237,113.02683548849636,44.45068515003716
19.5922793993905,39.445291192360315,9.81,2.5377739527945335,7.897413749260282,38.39595416951197,19.5922793993905
46.60802654641829,61.20151744113084,9.81,8.326915323244044,85.02513242908427,186.96011896636864,46.60802654641829
48.86542673306195,28.821476127324395,9.81,4.802680490685309,28.28436354699089,205.61366816357847,48.86542673306195
25.243769025841043,31.417591338772365,9.81,2.682744473618623,8.82546583803421,57.793827836042716,25.243769025841043
15.220796760469563,31.383108608707072,9.81,1.6159737567584302,3.202193912579809,20.998060835170154,15.220796760469563
18.124976004035148,71.08213487275245,9.81,3.4956050938897443,14.983861409939745,20.54137072611233,18.124976004035148
39.93501567467508,25.826832435919254,9.81,3.546951428660528,15.42728501621087,127.49907270887508,39.93501567467508
17.300736850666596,49.36812782092332,9.81,2.6767967442534712,8.786376543318886,30.157271093463304,17.300736850666596
22.126229056412807,79.99518029131713,9.81,4.442356501382618,24.19946898869283,17.076473110966283,22.126229056412807
26.53591363168324,60.99258464251127,9.81,4.731328809978316,27.450185417845425,60.882123324774525,26.53591363168324
30.880000241149286,33.544545870784816,9.81,3.4788642813223145,14.840686563488601,89.53600144670301,30.880000241149286
49.82451981355572,63.582127923268665,9.81,9.097144920616016,101.48205354782834,201.66236102486337,49.82451981355572
15.449438982361654,76.77409951699262,9.81,3.066187877327476,11.528599306484557,10.838029301439759,15.449438982361654
20.9040666461676,36.14764650068091,9.81,2.513892235731919,7.749475929485792,42.43456681044509,20.9040666461676
16.830102965472996,59.56078680485314,9.81,2.958279654791354,10.731426955186697,25.22386978808122,16.830102965472996
21.250104648966964,15.30629841835724,9.81,1.143645888489139,1.6038441572640099,23.440543024676344,21.250104648966964
9.536203260257924,72.67077857278991,9.81,1.8559318173982156,4.223797169406566,5.271719412620427,9.536203260257924
21.191439525847123,16.737970723701842,9.81,1.2442473540897083,1.898420750092768,25.250254827837097,21.191439525847123
44.95392641589748,36.10475673831162,9.81,5.400551500017168,35.76475416344409,196.14867161062324,44.95392641589748
18.436543153090206,47.9754090003565,9.81,2.7921968706769205,9.560290575862808,34.462227929211984,18.436543153090206
21.7370650932081,28.45043497151532,9.81,2.1112134040036064,5.465668523171063,40.34923653629941,21.7370650932081
47.50133739970706,55.44885281910243,9.81,7.976159585521215,78.01294802595204,214.87765255782534,47.50133739970706
37.77705483470907,48.8100109174688,9.81,5.795793382838422,41.1912346734489,144.18995673387948,37.77705483470907
28.253242166812175,60.202966820867424,9.81,4.998555458872867,30.63853887324327,70.17899951684993,28.253242166812175
39.97367277815483,34.789755558551256,9.81,4.649877282662909,26.513191159614923,152.64816299009965,39.97367277815483
10.543084198452679,48.22097227568714,9.81,1.6028925481167988,3.150560618641258,11.25940744338936,10.543084198452679
25.902065894937905,66.85297801268604,9.81,4.8556429960343115,28.911625994679085,49.439630408816846,25.902065894937905
10.320625793113983,66.7487442201019,9.81,1.9332132452032462,4.582880619815138,7.876319553467179,10.320625793113983
15.5128165258811,59.99679823963171,9.81,2.7388500992487743,9.198468960872596,21.24569566209276,15.5128165258811
11.384026688311637,47.93551227304856,9.81,1.7230176572600635,3.6404785501657373,13.14131396735118,11.384026688311637
21.28105576261127,57.12827705421467,9.81,3.6439755000432865,16.282831066827907,42.089760874606085,21.28105576261127
22.173769417816665,16.081620307843554,9.81,1.2522480741340258,1.9229135745351271,26.680481216883607,22.173769417816665
47.62888618249584,42.99220404975128,9.81,6.621423514524688,53.76278452610646,230.6770310039594,47.62888618249584
16.885657903438815,70.21004502132544,9.81,3.239223922203621,12.866515946788578,18.518731256086927,16.885657903438815
26.25929803924326,52.51553752086496,9.81,4.248162293449896,22.129990121163985,67.88562379081633,26.25929803924326
41.5120731783569,75.9178174077563,9.81,8.208876855946977,82.63166463827,82.91329707119647,41.5120731783569
41.702791389649775,28.352496490585665,9.81,4.0376016488197894,19.990605950169737,148.18092230107868,41.702791389649775
38.76544341657591,16.74112614775428,9.81,2.2765151512913087,6.355066663264714,84.50972486638048,38.76544341657591
17.952519296303283,53.86294049227206,9.81,2.9558836437590332,10.71405050156097,31.29375994676473,17.952519296303283
27.273722873511066,16.364815087426628,9.81,1.5666532195007066,3.0097108328483273,40.997414996341504,27.273722873511066
13.379521783402547,64.74947543970912,9.81,2.4670999119822414,7.463671147705539,14.080717494945189,13.379521783402547
13.477978525226192,27.971968570434008,9.81,1.2888286950042442,2.036898620462603,15.341498850293805,13.477978525226192
24.612854591223993,47.71263009105596,9.81,3.712147529038467,16.89777316384602,61.47593162312791,24.612854591223993
38.23664995593235,66.79639282111287,9.81,7.164874176323315,62.950061181570454,107.9404879733379,38.23664995593235
28.696291699902705,65.162475809021,9.81,5.309267816526821,34.56593322175367,63.99673195630788,28.696291699902705
44.900744938135354,44.718251895544604,9.81,6.441001300512287,50.872817869862686,205.50248671935722,44.900744938135354
42.390895899990916,78.3092489320831,9.81,8.46310282255944,87.82906413361813,72.69495804007751,42.390895899990916
6.42224492691825,44.83432099635885,9.81,0.9231523749224264,1.0450228893571785,4.204336406784079,6.42224492691825
